ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
36496,"Benjamin John ""Ben"" Fouhy",M,25.0,183.0,87.0,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
36506,Hyleas Christine Fountain,F,27.0,170.0,64.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,Silver
36545,Nina Fout,F,41.0,173.0,66.0,United States,USA,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
36553,William Dexter Fowler,M,22.0,198.0,79.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
36558,Sylvia Shaqueria Fowles,F,22.0,198.0,90.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Gold
36558,Sylvia Shaqueria Fowles,F,26.0,198.0,90.0,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Gold
36558,Sylvia Shaqueria Fowles,F,30.0,198.0,90.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Gold
36567,"Jessica Esther ""Jess"" Fox",F,18.0,166.0,60.0,Australia,AUS,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver
36567,"Jessica Esther ""Jess"" Fox",F,22.0,166.0,60.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Bronze
36569,Joanne Kylie Fox,F,21.0,182.0,72.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold
36580,William Speed Lane Fox-Pitt,M,35.0,196.0,80.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
36580,William Speed Lane Fox-Pitt,M,39.0,196.0,80.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
36580,William Speed Lane Fox-Pitt,M,43.0,196.0,80.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
36595,Marit Malm Frafjord,F,22.0,182.0,78.0,Norway,NOR,2008 Summer,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold
36595,Marit Malm Frafjord,F,26.0,182.0,78.0,Norway,NOR,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Gold
36595,Marit Malm Frafjord,F,30.0,182.0,78.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Bronze
36641,Igor Franceti,M,23.0,195.0,90.0,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Bronze
36648,Mirka Francia Vasconcelos,F,25.0,182.0,78.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Gold
36650,"Zsuzsanna ""Susan"" Francia",F,25.0,188.0,80.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
36650,"Zsuzsanna ""Susan"" Francia",F,29.0,188.0,80.0,United States,USA,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Gold
36651,Francielle Manoel Alberto,F,18.0,161.0,61.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
36669,Javon Francis,M,21.0,183.0,68.0,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
36677,Phyllis Chanez Francis,F,24.0,180.0,72.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
